Name,Species,Weight
mean_weight_Landings,LBE,0.637551443
mean_weight_Discards,LBE,0.343119323
mode_weight_Vnot,LBE,0.59890399
mean_weight_oversize,LBE,1.608306049
mean_weight_Landings,CRE,0.507917323
mean_weight_Discards,CRE,0.335482955
